Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Ecolo-Groen,,,Benoît Hellings,https://ecologroen.brussels/wp-content/uploads/sites/442/2024/09/Programme-2024-2030-3.pdf,https://ecologroen.brussels/nos-candidats/,https://ds1.static.rtbf.be/uploader/image/c/9/7/beta_3e5e63c39dc4ad98b5dd059370e218db.jpg
PTB,,,Bruno Bauwens,https://bruxelles.ptb.be/programme,,https://ds1.static.rtbf.be/uploader/image/9/7/6/beta_13d4364944941e18159b26c49588ca78.jpg
MR+,,,David Weytsman,https://dweytsman.be/programme/,https://bruxelles.mr.be/votrecommune/villedebruxelles/,https://ds1.static.rtbf.be/uploader/image/8/c/2/beta_c690557e9152732481910872f37c75db.jpg
Défi,,,Fabian Maingain,,,https://ds1.static.rtbf.be/uploader/image/0/a/4/beta_ebe37204b47ca496848571bd4de31b77.jpg
PS,,,Philippe Close,https://election2024.be/programme/,https://election2024.be/candidats/,https://ds1.static.rtbf.be/uploader/image/a/9/a/beta_7ca1fe96cb450747dcc82c9d6475ac14.jpg
Les Engagés,,,Didier Wauters,,https://www.lesengages.be/noscandidats/,https://ds1.static.rtbf.be/uploader/image/b/3/b/lapremiere_9a46b1f017ba89f519d8ddd099613b25.jpg
VLAAMS BELANG,,,
Sonja Hoylaerts,,,
Vista CollectifCitoyen,,,Jan Wostyn,,,
Team Fouad Ahidar-BXL+,,,Mourad Maimouni,,,
N-VA,,,Mathias Vanden Borre,,,
